source,outcode,sold_date,address,postcode,price,bedrooms,tenure,sale_class,lat,lng,ingest_ts
propertydata/sold-prices,SP8,2024-09-09,"Thyme Cottage, Peacemarsh, SP8 4ET",SP8 4ET,225000,3,freehold,old_stock,51.0433293,-2.2780944,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-09,"11, Cordery Gardens, SP8 4RJ",SP8 4RJ,242500,2,freehold,old_stock,51.0453387,-2.2785904,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-09,"6, Mampitts Lane, SP7 8GR",SP7 8GR,310000,3,freehold,old_stock,51.0055777,-2.1814788,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-09,"Chalkhill House, Chalk Hill, Shrewton, SP3 4EU",SP3 4EU,499950,,freehold,old_stock,51.1898786,-1.9012326,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-06,"Ivy Cottage, Dolphin Lane, SP8 4HQ",SP8 4HQ,298000,3,freehold,old_stock,51.0470064,-2.2795295,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-06,"22, Foxglove Crescent, SP7 8UF",SP7 8UF,283000,,freehold,new_build,51.0140997,-2.1838541,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-06,"9, Beaufoy Close, SP7 8PT",SP7 8PT,315000,3,freehold,old_stock,51.0075142,-2.1851181,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-05,"42, St Martins Close, Barford St Martin, SP3 4AX",SP3 4AX,272500,,freehold,old_stock,51.0856367,-1.9251805,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-04,"84, St James Street, SP7 8HF",SP7 8HF,149500,,freehold,old_stock,51.0026258,-2.2006838,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-03,"1, Greystones, Hindon, SP3 6DX",SP3 6DX,430000,,freehold,old_stock,51.0939399,-2.1271415,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-02,"73, Shreen Way, SP8 4EL",SP8 4EL,280000,2,freehold,old_stock,51.0455848,-2.2725136,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-30,"2, Deweys Way, SP8 4BW",SP8 4BW,261000,3,freehold,old_stock,51.041699,-2.2781041,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-30,"28, Grosvenor Road, SP7 8DR",SP7 8DR,240000,3,freehold,old_stock,51.0133639,-2.1901652,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-30,"10, Badger Walk, SP7 8FY",SP7 8FY,270000,,freehold,old_stock,51.0037491,-2.1797345,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-30,"29, Wildflower Lane, SP7 8UA",SP7 8UA,332500,,freehold,new_build,51.0136073,-2.1824837,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-30,"Wessex House, Unit 3, Wincombe Lane, SP7 8PJ",SP7 8PJ,1624000,,leasehold,old_stock,51.0090371,-2.1894785,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-30,"Wessex House, Unit 2, Wincombe Lane, SP7 8PJ",SP7 8PJ,1624000,,leasehold,old_stock,51.0090371,-2.1894785,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-30,"Longmead Industrial Estate, Unit 8, Longmead, SP7 8PL",SP7 8PL,1624000,,leasehold,old_stock,51.0072605,-2.1870767,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-30,"10, Grosvenor Drive, Tisbury, SP3 6GS",SP3 6GS,97500,,freehold,old_stock,51.069824,-2.0866904,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-30,"Windrush House, The Wirr, Steeple Langford, SP3 4ND",SP3 4ND,560000,4,freehold,old_stock,51.1352757,-1.9466963,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-29,"59, Jay Walk, SP8 4GY",SP8 4GY,200000,2,leasehold,old_stock,51.0327396,-2.2636445,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-29,"Wild Cherry Tree Barn, East Orchard, SP7 0LH",SP7 0LH,70000,,freehold,old_stock,50.9461772,-2.23147,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-29,"The Old School House, Compton Abbas, SP7 0NL",SP7 0NL,360000,,freehold,old_stock,50.9804447,-2.1700032,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-28,"11, Win Green View, SP7 8SR",SP7 8SR,264000,,freehold,old_stock,51.0081157,-2.1853192,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-28,"23, Maple Road, SP7 8FR",SP7 8FR,272500,,freehold,old_stock,51.0071233,-2.1809018,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-28,"38, Fairlane, SP7 8RT",SP7 8RT,442500,,freehold,old_stock,51.0052832,-2.185764,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-28,"15, Pound Lane, SP7 8RZ",SP7 8RZ,470000,4,freehold,old_stock,51.006291,-2.1844463,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-28,"14, French Mill Lane, SP7 8EU",SP7 8EU,1110000,,freehold,old_stock,51.000545,-2.1935444,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-28,"45, St Martins Close, Barford St Martin, SP3 4AX",SP3 4AX,70000,,freehold,old_stock,51.0854473,-1.9242597,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-28,"Teffont Lodge, Teffont, SP3 5RR",SP3 5RR,430000,,freehold,old_stock,51.0814814,-1.9986432,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-27,"42, Bridge Close, SP8 4LS",SP8 4LS,265000,2,freehold,old_stock,51.0333219,-2.2650041,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-23,"Flat 2, Bracher House, Newbury, SP8 4QJ",SP8 4QJ,145000,,leasehold,old_stock,51.0364718,-2.2707774,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-23,"Flat 1, Bracher House, Newbury, SP8 4QJ",SP8 4QJ,145000,,leasehold,old_stock,51.0364718,-2.2707774,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-23,"15, Spinners Way, SP8 4YP",SP8 4YP,355000,,freehold,new_build,51.0311486,-2.2701067,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-23,"1, Barnaby Mead, SP8 4AL",SP8 4AL,417500,3,freehold,old_stock,51.037941,-2.2749,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-23,"32, Foxglove Crescent, SP7 8UF",SP7 8UF,249944,,freehold,new_build,51.0139039,-2.1841189,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-23,"20, Foxglove Crescent, SP7 8UF",SP7 8UF,299000,,freehold,new_build,51.0140997,-2.1838541,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-23,"40, St James Street, SP7 8HE",SP7 8HE,395000,,freehold,old_stock,51.0032455,-2.1993317,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-23,"The Little Elms, Elm Hill, Motcombe, SP7 9HR",SP7 9HR,950000,5,freehold,old_stock,51.0391156,-2.2188632,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-23,"Rosemary Cottage, 2, High Street, Hindon, SP3 6DJ",SP3 6DJ,360000,2,freehold,old_stock,51.0952021,-2.1301258,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-23,"The Little Cottage, Lower Chicksgrove, Tisbury, SP3 6NB",SP3 6NB,370000,,freehold,old_stock,51.0664886,-2.0395625,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-23,"White Lodge, Berwick St James, SP3 4TZ",SP3 4TZ,905000,,freehold,old_stock,51.1562412,-1.8896056,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-22,"11, Thurstin Way, SP8 4FN",SP8 4FN,315000,2,freehold,old_stock,51.0459004,-2.2756862,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-22,"9, Morrison Avenue, Tisbury, SP3 6GX",SP3 6GX,605000,4,freehold,old_stock,51.0678999,-2.0857494,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-22,"Cleeve House, Teffont Evias, SP3 5RE",SP3 5RE,1242986,,freehold,old_stock,51.0843846,-2.0174029,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-21,"Stour Hill House, Apartment 5, West Stour, SP8 5SE",SP8 5SE,185000,,leasehold,old_stock,50.9982691,-2.3298815,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-21,"Knapp Cottage, Vicarage Road, Tisbury, SP3 6HZ",SP3 6HZ,637000,,freehold,old_stock,51.0629587,-2.0845539,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-20,"46, The Meadows, SP8 4SP",SP8 4SP,191500,,freehold,old_stock,51.0319691,-2.268616,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-08-20,"8, Wessex Way, SP8 4LX",SP8 4LX,235000,2,freehold,old_stock,51.0441927,-2.2829308,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-20,"Flat 9, Cann Lodge, Salisbury Road, SP7 8ER",SP7 8ER,170000,1,leasehold,old_stock,51.0033297,-2.1892647,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-20,"Summerhouse Cottage, The Street, Motcombe, SP7 9PE",SP7 9PE,735000,,freehold,old_stock,51.0276204,-2.2148218,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-20,"Acorns, Motcombe, SP7 9HJ",SP7 9HJ,795000,,freehold,old_stock,51.0345409,-2.2205392,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-08-20,"Orchard House, Moor Hill, Fovant, SP3 5LB",SP3 5LB,930000,,freehold,old_stock,51.0625514,-2.0075052,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-19,"3, Willow Cottages, Compton Abbas, SP7 0NF",SP7 0NF,390000,3,freehold,old_stock,50.9672556,-2.1802938,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-19,"8, Sutton View, Fontmell Magna, SP7 0QN",SP7 0QN,540000,,freehold,new_build,50.9489458,-2.1923953,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-08-19,"Antioch Cottage, Donhead St Mary, SP7 9DJ",SP7 9DJ,1000000,,freehold,old_stock,51.0180647,-2.1331259,2026-02-16T14:24:08.993Z
